Product Title,Price,Brand,Operating System,RAM,CPU Model,CPU Speed,Memory Storage,Screen Size,Resolution,Model Name,Wireless Carrier,URL
"Google Pixel 7 Pro - 5G Android Phone - Unlocked Smartphone with Telephoto/Wide Angle Lens, and 24-Hour Battery - 128GB - Obsidian",$395.99,Google,Android 13.0,12 GB,,,128 GB,6.7 Inches,3840 x 2160,Pixel 7 Pro,Unlocked for All Carriers,https://www.amazon.com/Google-Pixel-Pro-Smartphone-Telephoto/dp/B0BCQWYR2Z/ref=sr_1_15
Nokia 2780 Flip | Unlocked | Universally Compatible with All Mobile Carriers | Black,,Nokia,KaiOS,512 MB,Others,1.3 GHz,4 GB,2.7 Inches,240 x 320,2780,,https://www.amazon.com/Nokia-Unlocked-Universally-Compatible-Carriers/dp/B0D3RWZ39S/ref=sr_1_16
"Motorola XT2413-3 Moto g Play 2024 6.5"" 64GB 4GB RAM Sapphire Blue LTE AT&T Prepaid Smartphone",$74.72,Motorola,Android,4 GB,,,64 GB,6.5 Inches,,Moto G Play 2024,AT&T,https://www.amazon.com/Motorola-XT2413-3-Sapphire-Prepaid-Smartphone/dp/B0F6CRZDWM/ref=sr_1_17
Samsung Galaxy A05 A055M 64GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Black,"SAMSUNG Galaxy A05 (SM-A055M/DS), 128GB 4GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) - (Black)",Samsung,Android 13.0,4 GB,MediaTek Helio,2 GHz,64 GB,6.7 Inches,720 x 1600,A055M,Unlocked,https://www.amazon.com/Samsung-Dual-SIM-Unlocked-Android-Smartphone/dp/B0CRWT7WF1/ref=sr_1_18
"Motorola razr | 2023 | Unlocked | Made for US 8/128 | 32MP Camera | Summer Lilac, 73.95 x 170.82 x 7.35mm",Motorola razr | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Spritz Orange,Motorola,Android 13.0,8 GB,Snapdragon,2 GHz,8 GB,6.9 Inches,"Main display: FHD+ (2640 x 1080), External display: 194 x 368",Motorola razr 2023,,https://www.amazon.com/Motorola-Unlocked-Camera-Summer-170-82/dp/B0CGWF3F64/ref=sr_1_19
Motorola Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Scarlet Wave,$370.36,Motorola,Android 14,8 GB,Snapdragon,,256 GB,6.7 Inches,2160 x 1080,Moto G Stylus 5G,Unlocked,https://www.amazon.com/Stylus-Unlocked-256GB-Camera-Scarlet/dp/B0D5PFR7DK/ref=sr_1_20
"8849 Tank 3 Pro Rugged Smartphone Unlocked, Android 14 Waterproof Rugged Cell Phone with Projector, 6.79"" 23800mAh 5G Mobile Phones 32GB RAM 512GB ROM, Dual SIM/Camping Light/2TB Expand/OTG/GPS",$629.99,8849,Android 14,16 GB,,,512 GB,6.79 Inches,2460 x 1080,TANK3 PRO,T-Mobile,https://www.amazon.com/8849-Smartphone-Unlocked-Waterproof-Projector/dp/B0DK5GPVBZ/ref=sr_1_21
"SAMSUNG Galaxy A16 5G (SM-A166M/DS), 256GB 8GB RAM, Dual SIM, Factory Unlocked GSM, International Version (25W Power Adapter Bundle) - (Light Green)",$184.95,Samsung,Android,8 GB,1.2GHz Cortex A13 Processor,4 GHz,256 GB,6.7 Inches,1080 x 2340,Samsung Galaxy A16 5G,Unlocked,https://www.amazon.com/SAMSUNG-SM-A166M-DS-Unlocked-International/dp/B0DK9VWMNH/ref=sr_1_22
Motorola Edge 2025 | Unlocked | Made for US 8/256GB | 50MP Camera | Pantone Deep Forest,$549.99,Motorola,Android 15,8 GB,,,8 GB,6.7 Inches,2712x1220,Motorola edge 2025,Unlocked,https://www.amazon.com/Motorola-Unlocked-Camera-Pantone-Forest/dp/B0F2GQTBQF/ref=sr_1_23
"I17 Pro Max Cell Phones Unlocked,Android 15 Phone 12GB+256GB/1TB Expandable,6.8 Inch Screen 7800mAh Battery 108MP Camera Dual SIM Smartphone NFC/GPS/Face ID/Fingerprint Unlock",$119.99,ACCOF,Android 15,12 GB,,,128 GB,6.8 Inches,,I17 Pro Max,Unlocked,https://www.amazon.com/ACCOF-I17-Pro-Max-Fingerprint/dp/B0F53ZXNMZ/ref=sr_1_24
